"otu"	"tax"	"sim"
"13153"	"SCOR.D2.100m.RNA_984627"	8780	98.4
"13322"	"SCOR.D2.100m.RNA_984794"	2274	99.57
"13379"	"SCOR.D2.100m.RNA_984850"	8780	97.99
"13419"	"SCOR.D2.100m.RNA_984890"	2274	100
"13440"	"SCOR.D2.100m.RNA_984911"	8780	98.24
"13580"	"SCOR.D2.100m.RNA_985049"	23633	99.79
"13643"	"SCOR.D2.100m.RNA_985112"	8780	97.15
"13839"	"SCOR.D2.100m.RNA_985314"	23633	99.57
"13956"	"SCOR.D2.100m.RNA_985431"	41856	98.1
"15058"	"SCOR.D2.100m.RNA_986558"	28241	98.76
"15261"	"SCOR.D2.100m.RNA_986760"	2274	99.79
"15353"	"SCOR.D2.100m.RNA_986855"	32940	99.2
"15362"	"SCOR.D2.100m.RNA_986864"	2274	98.11
"15868"	"SCOR.D2.100m.RNA_987384"	8780	97.27
"15871"	"SCOR.D2.100m.RNA_987387"	26582	98.11
"16272"	"SCOR.D2.100m.RNA_987798"	28241	99.59
"16463"	"SCOR.D2.100m.RNA_987985"	2274	99.6
"16554"	"SCOR.D2.100m.RNA_988077"	8780	99.06
"16587"	"SCOR.D2.100m.RNA_988112"	10557	98.8
"16839"	"SCOR.D2.100m.RNA_988366"	17547	98.4
"17006"	"SCOR.D2.100m.RNA_988534"	2274	99.52
"17169"	"SCOR.D2.100m.RNA_988700"	8780	98.97
"17259"	"SCOR.D2.100m.RNA_988791"	17547	99.79
"17327"	"SCOR.D2.100m.RNA_988854"	35841	97.17
"17418"	"SCOR.D2.100m.RNA_988948"	2274	99.04
"17586"	"SCOR.D2.100m.RNA_989115"	42840	99.77
"17910"	"SCOR.D2.100m.RNA_989448"	10557	99.57
"17937"	"SCOR.D2.100m.RNA_989476"	28241	98.47
"18118"	"SCOR.D2.100m.RNA_989660"	8780	98.38
"18235"	"SCOR.D2.100m.RNA_989782"	28241	96.49
"18270"	"SCOR.D2.100m.RNA_989818"	32940	99
"18461"	"SCOR.D2.100m.RNA_990011"	2274	99.58
"18650"	"SCOR.D2.100m.RNA_990201"	2274	98.6
"18676"	"SCOR.D2.100m.RNA_990227"	35841	99.59
"18727"	"SCOR.D2.100m.RNA_990277"	10939	98.37
"18962"	"SCOR.D2.100m.RNA_990513"	10202	97.71
"19039"	"SCOR.D2.100m.RNA_990588"	23633	99.16
"19151"	"SCOR.D2.100m.RNA_990700"	2274	98.53
"19290"	"SCOR.D2.100m.RNA_990837"	35841	98
"19357"	"SCOR.D2.100m.RNA_990907"	17547	98.92
"19388"	"SCOR.D2.100m.RNA_990941"	35162	99.2
"19608"	"SCOR.D2.100m.RNA_991162"	2274	98.52
"19770"	"SCOR.D2.100m.RNA_991333"	35841	99.36
"19905"	"SCOR.D2.100m.RNA_991476"	23633	98.11
"19908"	"SCOR.D2.100m.RNA_991479"	2274	98.72
"20226"	"SCOR.D2.100m.RNA_991804"	2274	95.53
"20466"	"SCOR.D2.100m.RNA_992049"	23633	99.79
"20563"	"SCOR.D2.100m.RNA_992147"	8780	96.94
"20564"	"SCOR.D2.100m.RNA_992148"	8780	97.38
"20964"	"SCOR.D2.100m.RNA_992550"	35841	98.4
"21123"	"SCOR.D2.100m.RNA_992717"	10202	99.58
"21375"	"SCOR.D2.100m.RNA_992964"	32940	99
"21913"	"SCOR.D2.100m.RNA_993511"	35162	98.14
"22123"	"SCOR.D2.100m.RNA_993726"	10460	99.79
"22497"	"SCOR.D2.100m.RNA_994103"	2274	99.56
"22734"	"SCOR.D2.100m.RNA_994347"	23633	97.45
"22818"	"SCOR.D2.100m.RNA_994431"	8780	97.59
"23018"	"SCOR.D2.100m.RNA_994636"	23633	97.64
"23101"	"SCOR.D2.100m.RNA_994719"	17547	100
"23204"	"SCOR.D2.100m.RNA_994821"	39646	95.67
"23230"	"SCOR.D2.100m.RNA_994842"	35841	99.38
"23278"	"SCOR.D2.100m.RNA_994891"	8780	98.52
"23283"	"SCOR.D2.100m.RNA_994896"	10202	97.71
"23638"	"SCOR.D2.100m.RNA_995249"	17737	100
"24060"	"SCOR.D2.100m.RNA_995676"	38500	99.6
"24181"	"SCOR.D2.100m.RNA_995799"	17737	100
"24200"	"SCOR.D2.100m.RNA_995817"	17547	98.93
"24460"	"SCOR.D2.100m.RNA_996082"	2274	97.78
"24662"	"SCOR.D2.10m.DNA_486804"	41856	99.37
"24684"	"SCOR.D2.10m.DNA_486825"	10939	98.28
"24696"	"SCOR.D2.10m.DNA_486836"	41856	98.5
"24717"	"SCOR.D2.10m.DNA_486855"	41856	100
"24729"	"SCOR.D2.10m.DNA_486867"	41856	99.56
"24735"	"SCOR.D2.10m.DNA_486873"	23633	98.5
"24773"	"SCOR.D2.10m.DNA_486909"	41856	98.63
"24792"	"SCOR.D2.10m.DNA_486927"	41856	99.37
"24832"	"SCOR.D2.10m.DNA_486966"	41856	100
"24841"	"SCOR.D2.10m.DNA_486975"	10939	97.39
"24845"	"SCOR.D2.10m.DNA_486979"	41856	99.79
"24852"	"SCOR.D2.10m.DNA_486986"	41856	100
"24865"	"SCOR.D2.10m.DNA_486999"	27885	98.39
"24871"	"SCOR.D2.10m.DNA_487005"	10939	98.19
"24883"	"SCOR.D2.10m.DNA_487016"	10939	97.98
"24893"	"SCOR.D2.10m.DNA_487026"	41856	100
"24906"	"SCOR.D2.10m.DNA_487039"	23633	99.37
"24931"	"SCOR.D2.10m.DNA_487064"	41856	99.79
"24977"	"SCOR.D2.10m.DNA_487109"	41856	99.79
"24989"	"SCOR.D2.10m.DNA_487120"	23633	99.37
"24991"	"SCOR.D2.10m.DNA_487122"	27885	98.39
"25015"	"SCOR.D2.10m.DNA_487146"	35162	99.4
"25065"	"SCOR.D2.10m.DNA_487195"	10557	95.74
"25082"	"SCOR.D2.10m.DNA_487211"	41856	99.58
"25111"	"SCOR.D2.10m.DNA_487239"	41856	99.58
"25124"	"SCOR.D2.10m.DNA_487253"	41856	99.58
"25133"	"SCOR.D2.10m.DNA_487262"	10557	95.75
"25165"	"SCOR.D2.10m.DNA_487294"	10557	95.54
"25187"	"SCOR.D2.10m.DNA_487315"	41856	99.37
"25188"	"SCOR.D2.10m.DNA_487316"	10557	95.12
"25194"	"SCOR.D2.10m.DNA_487322"	41856	100
"25233"	"SCOR.D2.10m.DNA_487363"	27885	98.4
"25242"	"SCOR.D2.10m.DNA_487373"	23633	99.16
"25259"	"SCOR.D2.10m.DNA_487390"	41856	99.79
"25271"	"SCOR.D2.10m.DNA_487402"	41856	99.79
"25277"	"SCOR.D2.10m.DNA_487407"	23633	99.37
"25285"	"SCOR.D2.10m.DNA_487415"	32070	98.59
"25289"	"SCOR.D2.10m.DNA_487419"	41856	98.74
"25298"	"SCOR.D2.10m.DNA_487428"	41856	99.58
"25344"	"SCOR.D2.10m.DNA_487473"	32940	95.39
"25359"	"SCOR.D2.10m.DNA_487488"	23633	99.79
"25372"	"SCOR.D2.10m.DNA_487501"	23633	98.33
"25373"	"SCOR.D2.10m.DNA_487502"	23633	98.65
"25380"	"SCOR.D2.10m.DNA_487509"	10557	95.75
"25427"	"SCOR.D2.10m.DNA_487552"	23633	99.58
"25435"	"SCOR.D2.10m.DNA_487560"	27885	98.4
"25500"	"SCOR.D2.10m.DNA_487623"	23633	98.53
"25501"	"SCOR.D2.10m.DNA_487624"	41856	99.34
"25515"	"SCOR.D2.10m.DNA_487637"	23633	99.16
"25533"	"SCOR.D2.10m.DNA_487654"	32070	99.19
"25537"	"SCOR.D2.10m.DNA_487658"	41856	100
"25580"	"SCOR.D2.10m.DNA_487698"	23633	99.58
"25582"	"SCOR.D2.10m.DNA_487700"	23633	97.31
"25597"	"SCOR.D2.10m.DNA_487715"	23633	98.74
"25608"	"SCOR.D2.10m.DNA_487725"	35162	97.33
"25629"	"SCOR.D2.10m.DNA_487746"	23633	99.58
"25630"	"SCOR.D2.10m.DNA_487747"	41856	99.79
"25645"	"SCOR.D2.10m.DNA_487759"	10939	98.59
"25660"	"SCOR.D2.10m.DNA_487773"	41856	99.79
"25723"	"SCOR.D2.10m.DNA_487833"	27885	98.76
"25753"	"SCOR.D2.10m.DNA_487863"	23633	97.44
"25757"	"SCOR.D2.10m.DNA_487867"	41856	99.79
"25798"	"SCOR.D2.10m.DNA_487908"	23633	98.95
"25802"	"SCOR.D2.10m.DNA_487912"	41856	100
"25821"	"SCOR.D2.10m.DNA_487929"	23633	99.37
"25879"	"SCOR.D2.10m.DNA_487984"	35162	99.38
"25887"	"SCOR.D2.10m.DNA_487992"	22164	99.29
"25944"	"SCOR.D2.10m.DNA_488051"	35162	98.98
"25949"	"SCOR.D2.10m.DNA_488056"	23633	99.16
"25967"	"SCOR.D2.10m.DNA_488073"	23633	98.3
"25975"	"SCOR.D2.10m.DNA_488081"	41856	99.58
"25996"	"SCOR.D2.10m.DNA_488103"	41856	98.75
"26014"	"SCOR.D2.10m.DNA_488120"	41856	99.37
"26021"	"SCOR.D2.10m.DNA_488127"	41856	100
"26044"	"SCOR.D2.10m.DNA_488150"	41856	100
"26045"	"SCOR.D2.10m.DNA_488151"	41856	100
"26048"	"SCOR.D2.10m.DNA_488154"	23633	99.58
"26078"	"SCOR.D2.10m.DNA_488182"	10939	98.19
"26101"	"SCOR.D2.10m.DNA_488205"	41856	99.58
"26104"	"SCOR.D2.10m.DNA_488208"	23633	98.93
"26110"	"SCOR.D2.10m.DNA_488214"	41856	100
"26114"	"SCOR.D2.10m.DNA_488218"	10939	98.18
"26115"	"SCOR.D2.10m.DNA_488219"	23633	99.58
"26119"	"SCOR.D2.10m.DNA_488223"	23633	97.69
"26124"	"SCOR.D2.10m.DNA_488228"	41856	99.79
"26127"	"SCOR.D2.10m.DNA_488231"	23633	97.9
"26151"	"SCOR.D2.10m.DNA_488254"	41856	99.79
"26190"	"SCOR.D2.10m.DNA_488290"	23633	98.31
"26222"	"SCOR.D2.10m.DNA_488318"	10939	98.18
"26225"	"SCOR.D2.10m.DNA_488321"	35162	99.39
"26251"	"SCOR.D2.10m.DNA_488347"	10939	98.36
"26259"	"SCOR.D2.10m.DNA_488355"	41856	99.58
"26275"	"SCOR.D2.10m.DNA_488371"	41856	100
"26276"	"SCOR.D2.10m.DNA_488372"	23633	98.74
"26326"	"SCOR.D2.10m.DNA_488422"	23633	99.37
"26354"	"SCOR.D2.10m.DNA_488449"	27885	98.55
"26356"	"SCOR.D2.10m.DNA_488451"	41856	99.79
"26388"	"SCOR.D2.10m.DNA_488481"	41856	98.11
"26397"	"SCOR.D2.10m.DNA_488490"	41856	99.79
"26401"	"SCOR.D2.10m.DNA_488494"	27885	98.76
"26412"	"SCOR.D2.10m.DNA_488505"	41856	99.79
"26431"	"SCOR.D2.10m.DNA_488524"	23633	97.7
"26434"	"SCOR.D2.10m.DNA_488526"	23633	98.32
"26455"	"SCOR.D2.10m.DNA_488547"	41856	99.79
"26471"	"SCOR.D2.10m.DNA_488563"	23633	99.58
"26494"	"SCOR.D2.10m.DNA_488584"	23633	99.58
"26514"	"SCOR.D2.10m.DNA_488604"	10939	98.35
"26517"	"SCOR.D2.10m.DNA_488607"	10939	97.98
"26556"	"SCOR.D2.10m.DNA_488645"	35162	99
"26557"	"SCOR.D2.10m.DNA_488646"	23633	99.58
"26588"	"SCOR.D2.10m.DNA_488676"	41856	100
"26597"	"SCOR.D2.10m.DNA_488685"	23633	98.12
"26627"	"SCOR.D2.10m.DNA_488713"	41856	99.58
"26643"	"SCOR.D2.10m.DNA_488729"	35162	99.2
"26653"	"SCOR.D2.10m.DNA_488739"	41856	99.79
"26654"	"SCOR.D2.10m.DNA_488740"	27885	98.39
"26668"	"SCOR.D2.10m.DNA_488754"	41856	100
"26670"	"SCOR.D2.10m.DNA_488756"	10939	98.03
"26679"	"SCOR.D2.10m.DNA_488763"	41856	99.58
"26686"	"SCOR.D2.10m.DNA_488770"	41856	98.74
"26700"	"SCOR.D2.10m.DNA_488784"	23633	99.79
"26702"	"SCOR.D2.10m.DNA_488786"	41856	99.79
"26708"	"SCOR.D2.10m.DNA_488793"	41856	96.46
"26756"	"SCOR.D2.10m.DNA_488841"	23633	99.16
"26759"	"SCOR.D2.10m.DNA_488844"	41856	100
"26780"	"SCOR.D2.10m.DNA_488865"	41856	100
"26794"	"SCOR.D2.10m.DNA_488879"	35162	99.2
"26822"	"SCOR.D2.10m.DNA_488905"	23633	97.86
"26845"	"SCOR.D2.10m.DNA_488928"	10557	95.74
"26858"	"SCOR.D2.10m.DNA_488940"	41856	99.79
"26862"	"SCOR.D2.10m.DNA_488944"	23633	98.32
